"flex","font-normal","font-bold","flex 2","flex 3"
"4","sohta","AMAGASA","JPN","3550"
"5","tomoa","NARASAKI","JPN","2822.5"
"6","meichi","NARASAKI","JPN","2630"
"7","maximillian","MILNE","GBR","2403"
"8","paul","JENFT","FRA","2400"
"9","hannes","VAN DUYSEN","BEL","2355"
"10","dayan","AKHTAR","GBR","2147"
"11","toby","ROBERTS","GBR","2092"
"12","anze","PEHARC","SLO","1980"
"13","yufei","PAN","CHN","1864"
"14","yuji","FUJIWAKI","JPN","1671"
"15","colin","DUFFY","USA","1504.8"
"16","sam","AVEZOU","FRA","1501.3"
"17","jongwon","CHON","KOR","1405"
"18","manuel","CORNU","FRA","1400.5"
"19","samuel","RICHARD","FRA","1330.7"
"20","thomas","LEMAGNER","FRA","1203.8"
"21","jack","MACDOUGALL","GBR","1165.3"
"22","jan-luca","POSCH","AUT","1028"
"23","oren","PRIHED","ISR","999"
"24","adam","SHAHAR","USA","921.5"
"25","elias","ARRIAGADA KRÜGER","GER","872.5"
"26","rei","SUGIMOTO","JPN","870"
"27","nicolai","UZNIK","AUT","808.2"
"28","leo","FAVOT","FRA","805"
"29","nikolay","RUSEV","BUL","798.8"
"30","ritsu","KAYOTANI","JPN","798"
"31","adrien","LEMAIRE","FRA","747"
"32","thorben perry","BLOEM","GER","729.3"
"33","adam","ONDRA","CZE","725"
"34","nicolò","SARTIRANA","ITA","703.4"
"35","hamish","MCARTHUR","GBR","640"
"36","oscar","BAUDRAND","CAN","634.2"
"37","julian","WIMMER","AUT","621.7"
"38","antoine","GIRARD","FRA","606"
"39","guillermo","PEINADO FRANGANILLO","ESP","555"
"40","julien","CLÉMENCE","SUI","537.8"
"41","nicolas","COLLIN","BEL","515.8"
"42","yusuke","SUGIMOTO","JPN","506.3"
"43","timotej","ROMŠAK","SLO","462.7"
"44","lasse","VON FREIER","GER","450"
"45","lukas","MOKROLUSKY","CZE","426.5"
"46","max","KLEESATTEL","GER","354"
"47","kento","YAMAGUCHI","JPN","353.2"
"48","charles","BARRON","USA","348.5"
"49","ziqi","XU","CHN","342.2"
"50","daiki","SANO","JPN","338.2"
"51","cheung-chi shoji","CHAN","HKG","324"
"52","ido","FIDEL","ISR","317.7"
"53","matthew","RODRIGUEZ","CAN","316.5"
"54","paul","BRAND","NED","302.5"
"55","max","BERTONE","FRA","290"
"56","lucas","TRANDAFIR","GER","277"
"56","ardch","INTRACHUPONGSE","THA","277"
"58","yoshiyuki","OGATA","JPN","276.2"
"59","edvards","GRUZITIS","LAT","274.2"
"60","adi","BARK","ISR","273.5"
"61","tim","WÜRTHNER","GER","268.2"
"62","malo","GILLY-EYDOUX","AUS","225"
"63","dylan","PARKS","AUS","221.8"
"64","raffael","GRUBER","AUT","217.5"
"65","alexander","WALLER","USA","204.3"
"66","hugo","HOYER","USA","200.7"
"67","andreas","HOFHERR","AUT","193.8"
"68","ram","LEVIN","ISR","187"
"69","kodai","YAMADA","JPN","186.2"
"70","levin","STRAUBHAAR","SUI","184.3"
"71","sascha","LEHMANN","SUI","183.5"
"72","benjamin","HANNA","USA","182"
"73","diego","LEQUERICA BUSCAGLIA","PER","180"
"74","sam","LAVENDER","AUS","171"
"75","luca","BOLDRINI","ITA","170"
"76","gregor","VEZONIK","SLO","161.2"
"77","michael","PICCOLRUAZ","ITA","159.4"
"78","christian","WAGNER","CHI","149.2"
"79","matteo","REUSA","ITA","145"
"79","jiahao","FU","CHN","145"
"81","maxim","PARE","AUS","141"
"82","aiden","YANEV","AUS","138"
"83","ravianto","RAMADHAN","INA","125"
"84","joaquin","URRUTIA","CHI","120.2"
"85","bharath","PEREIRA","IND","117.7"
"86","chih-en","FAN","TPE","116.3"
"87","louis","FECHOZ","AUS","115"
"88","geva","LEVIN","ISR","110.5"
"89","corentin","LAPORTE","BEL","108.5"
"90","yejun","CHON","KOR","107.4"
"91","benjamin","VARGAS","CHI","107.3"
"92","noé","MOUTAULT","FRA","107"
"93","yannick","FLOHÉ","GER","105"
"94","rodrigo","IASI HANADA","BRA","104.8"
"95","satone","YOSHIDA","JPN","100"
"95","keita","DOHI","JPN","100"
"97","simon","HIBBELER","USA","98"
"98","thor","VILLEGAS GARCÍA","MEX","91"
"99","niccolò antony","SALVATORE","ITA","89.9"
"100","hugo","DORVAL","CAN","85.8"
"101","cheuk-hei","HO","HKG","81"
"102","felipe","HO FOGANHOLO","BRA","80.3"
"103","nimród sebestyén","TUSNÁDY","HUN","69"
"103","marley","FARQUHARSON","AUS","69"
"105","nathan","WHALEY","GBR","68"
"106","filip","SCHENK","ITA","64.7"
"107","vail","EVERETT","USA","63.5"
"108","michael","O'NEILL","IRL","62.5"
"109","joshua","DAMASCO","AUS","57"
"110","zach","RICHARDSON","CAN","53.3"
"111","jinwei","YAO","CHN","52"
"112","jesse","RUFFINI","AUS","48"
"112","hyunseung","NOH","KOR","48"
"114","raviandi","RAMADHAN","INA","45"
"115","samuel","BUTTERWORTH","GBR","43.3"
"116","ronny","ESCOBAR","CHI","41"
"116","pietro","VIDI","ITA","41"
"118","slav","KIROV","BUL","40.5"
"119","ben","ABEL","AUS","40"
"120","alexandru-florian","ZAHARIA","ROU","38.4"
"121","iman","AREZEH","IRI","36"
"122","darius","RÂPĂ","ROU","35.5"
"122","xuanpu","BAI","CHN","35.5"
"124","dylan","SMITH","CAN","35"
"125","samuel carlos","DA SILVA","BRA","34"
"126","luka","SUGIMOTO-FAULKNER","NZL","33"
"127","emil","ZIMMERMANN","GER","32.5"
"128","nathan","MARTIN","LUX","31.7"
"129","junzhe","HU","CHN","31.5"
"129","kito","MARTINI","FRA","31.5"
"131","dragoș gabriel","FLUERARU","ROU","29.5"
"132","joshua","GERHARDT","USA","28.2"
"133","beomjin","PARK","KOR","28"
"134","timo","UZNIK","AUT","27.8"
"135","max","THOMAS","AUS","27"
"136","leonardo","MAGALLANES TEJADA","MEX","26"
"137","jack","BURNINGHAM","RSA","25.5"
"138","chua","DENNIS","SGP","23.7"
"139","ali","SALIMIAN","IRI","23.2"
"140","martin","STRANIK","CZE","22"
"141","ian","TAN","CAN","21"
"141","dylan","SOIN","AUS","21"
"143","călin","ENACHE","ROU","19.3"
"144","yonatan","KATZ","ISR","19"
"145","roman","SIVAKOV","LTU","18.9"
"146","chi-fung","AU","HKG","18"
"146","dante","CABALLERO","CHI","18"
"148","luke","GOH WEN BIN","SGP","17.5"
"149","tomer","YAKOBOVITCH","ISR","17"
"149","ned","MIDDLEHURST","AUS","17"
"151","sungjoon","CHAE","KOR","14.8"
"151","yannick","NAGEL","GER","14.8"
"153","hugo","MARTÍN ÁLVAREZ","ESP","14.5"
"154","simon","LORENZI","BEL","14"
"155","gabriel","KERN","SWE","12.5"
"156","seungchan","CHOI","KOR","12.3"
"157","finlay","CATE","NZL","12"
"157","simone","MABBONI","ITA","12"
"159","jan","STIPEK","CZE","11.8"
"160","wan tong","LOK","MAC","11.3"
"161","qun tao","KE","MAS","11"
"161","tzu-yu","CHOU","TPE","11"
"161","ka-chun","YAU","HKG","11"
"164","cozmo","ROTHFORK","USA","10.5"
"164","jonas","KÖRNER","GER","10.5"
"166","sungbo","SEO","KOR","10"
"166","gerald","BAYO VEROSIL","SGP","10"
"166","jonathan odiel","BENITEZ RODRIGUEZ","HON","10"
"169","davi","CARVALHO PERES","BRA","9.5"
"169","guy","MCNAMEE","CAN","9.5"
"171","alexander t","CVETKOVSKI","AUS","9"
"171","theis lindegren","ELFENBEIN","DEN","9"
"171","tamás","FARKAS","HUN","9"
"171","mikel","PAZ Y PUENTE HOFMANN","MEX","9"
"171","pedro","AVELAR","BRA","9"
"176","dohyeon","KIM","KOR","8.7"
"177","louis","GUIGNARD","SUI","8.5"
"178","alejo","SUTER","ARG","8"
"178","albin","MEYER","SWE","8"
"180","peter","KURIC","SVK","7.7"
"181","pedro henrique","NAMBA DE ARAÚJO","BRA","7.5"
"181","ariel","FLORES CHEUN","ARG","7.5"
"183","taher","ALHADDAD","KSA","7.2"
"184","yaku martin","GALMEZ SUAREZ","PER","7"
"184","juan sebastian","SANCHEZ MARTIN","COL","7"
"184","jakub","ZIETEK","POL","7"
"187","isaac","LEFF","USA","6.5"
"188","timo","OSSIG","GER","6"
"188","javier leonardo","ALIAGA NINA","BOL","6"
"188","tomás","ARCE","COL","6"
"188","tyler","BERGIN","AUS","6"
"188","nicolò","SACRIPANTI","ITA","6"
"193","mykyta","MYRONENKO","UKR","5.8"
"193","sulaiman","ALYAHYA","KSA","5.8"
"193","vin","SUKAPANPOTHARAM","THA","5.8"
"193","chuluunbaatar","MANDAKHBAYAR","MGL","5.8"
"193","aman","VERMA","IND","5.8"
"193","quitugua","MICHAEL","GUM","5.8"
"199","ariel","GONZALEZ","CRC","5"
"199","andrés","ORTEGA FOSADO","MEX","5"
"199","gabriel","LANCHEROS POVEDA","COL","5"
"199","linus","QVARNSTRÖM","SWE","5"
"203","tomas","CASAS","CRC","4.5"
"203","jair octavio","MORENO MONTOYA","MEX","4.5"
"205","ilja","AUERSPERG","AUT","4.4"
"206","donovan","VICENTE","GUM","4.2"
"206","christos","SOFOKLEOUS","CYP","4.2"
"206","muhammad akif nukman","NAZRILAZDIN","MAS","4.2"
"206","azat","MAIKOTOV","KAZ","4.2"
"210","kenu","PUERTA WONG","PER","4"
"210","aj","GOLDSMITH","NZL","4"
"210","axel","LINDFORS","FIN","4"
"213","vishak","OOMMEN SHANKER","IND","3.5"
"214","yousef","FATANI","KSA","3"
"214","man hou","LAM","MAC","3"
"214","alexandre","NOËL","BEL","3"
"214","simon","POTUCEK","CZE","3"
"214","rolands","RUGENS","LAT","3"
"214","owen","PALMER","AUS","3"
"214","jonas","UTELLI","SUI","3"
"214","romain","SABATIER","SUI","3"
"214","lukas","ZGRAGGEN","SUI","3"
"214","gianfranco","DIAZ","VEN","3"
"214","tuukka","SIMONEN","FIN","3"
"225","hossein","FAMILROHANI","IRI","2"
"225","suraj","SINGH","IND","2"
"227","joshua kyri","STELIOU","CYP","1"
"227","garcía fernández del valle","PEDRO","MEX","1"
"227","mark","SCANLON","IRL","1"
"227","meritas","BABILAS","LTU","1"
"227","andrés","VILA ANDRÉS","ESP","1"
"227","mohammad","GARAKANI","IRI","1"
"233","paul","HAIDER","AUT","0.4"
"233","julian","SCHRITTWIESER","AUT","0.4"