"rank","r-name","r-name-sub","score","detail-box 10","detail-box 11","detail-box 12","detail-box 13","detail-box 14","detail-box 15"
"1","Sorato ANRAKU","JPN","5300","1000","1000","1000","805","690","805"
"2","Dohyun LEE","KOR","4650","1000","1000","805","690","610","545"
"3","Mejdi SCHALCK","FRA","4145","545","805","495","1000","805","495"
"4","Sohta AMAGASA","JPN","3550","690","380","610","805","610","455"
"5","Tomoa NARASAKI","JPN","2822.5","545","350","610","690","337.5","290"
"6","Meichi NARASAKI","JPN","2630","260","495","690","380","545","260"
"7","Maximillian MILNE","GBR","2403","415","805","233","220","120","610"
"8","Paul JENFT","FRA","2400","435","455","455","260","495","300"
"9","Hannes VAN DUYSEN","BEL","2355","105","240","280","495","545","690"
"10","Dayan AKHTAR","GBR","2147","610","192","350","300","415","280"
"11","Toby ROBERTS","GBR","2092","690","240","155","7","1000",""
"12","Anze PEHARC","SLO","1980","240","220","495","415","230","380"
"13","Yufei PAN","CHN","1864","100","24","545","1000","195",""
"14","Yuji FUJIWAKI","JPN","1671","220","170","126","155","545","455"
"15","Colin DUFFY","USA","1504.83","177.5","33.33","610","9","455","220"
"16","Sam AVEZOU","FRA","1501.33","325","240","300","495","73.33","68"
"17","Jongwon CHON","KOR","1405","300","545","300","260","",""
"18","Manuel CORNU","FRA","1400.5","805","155","121","230","89.5",""
"19","Samuel RICHARD","FRA","1330.66","380","690","48.66","38","65","109"
"20","Thomas LEMAGNER","FRA","1203.75","325","260","205","185","78.75","150"
"21","Jack MACDOUGALL","GBR","1165.25","337.5","380","78.75","195","109","65"
"22","Jan-Luca POSCH","AUT","1028","205","415","39.5","170","185","13.5"
"23","Oren PRIHED","ISR","999","93","415","16","350","125",""
"24","Adam SHAHAR","USA","921.5","455","290","64","112.5","",""
"25","Elias ARRIAGADA KRÜGER","GER","872.5","39.5","70","68","220","150","325"
"26","Rei SUGIMOTO","JPN","870","325","130","415","","",""
"27","Nicolai UZNIK","AUT","808.2","185","35","130","43.2","415",""
"28","Leo FAVOT","FRA","805","47","280","95","83","150","150"
"29","Nikolay RUSEV","BUL","798.83","137.5","81","177.5","170","143.33","89.5"
"30","Ritsu KAYOTANI","JPN","798","280","380","138","","",""
"31","Adrien LEMAIRE","FRA","747","89.5","350","52","230","25.5",""
"32","Thorben Perry BLOEM","GER","729.33","48","26","300","15.33","290","50"
"33","Adam ONDRA","CZE","725","495","230","","","",""
"34","Nicolò SARTIRANA","ITA","703.36","205","106.66","54","205","89.5","43.2"
"35","Hamish MCARTHUR","GBR","640","380","260","","","",""
"36","Oscar BAUDRAND","CAN","634.16","137.5","114","52","42","240","48.66"
"37","Julian WIMMER","AUT","621.66","9","325","112.5","52","120","3.16"
"38","Antoine GIRARD","FRA","606","62","350","20","65","109",""
"39","Guillermo PEINADO FRANGANILLO","ESP","555","11.5","9","31.5","325","150","28"
"40","Julien CLÉMENCE","SUI","537.83","4.33","220","185","30","73","25.5"
"41","Nicolas COLLIN","BEL","515.75","1","27","280","24","105","78.75"
"42","Yusuke SUGIMOTO","JPN","506.33","25.5","143.33","337.5","","",""
"43","Timotej ROMŠAK","SLO","462.7","112.5","185","52","52","43.2","18"
"44","Lasse VON FREIER","GER","450","3","155","84","170","0","38"
"45","Lukas MOKROLUSKY","CZE","426.5","6.5","13.5","337.5","19","50",""
"46","Max KLEESATTEL","GER","354","170","68","5","6","105","0"
"47","Kento YAMAGUCHI","JPN","353.2","205","43.2","105","","",""
"48","Charles BARRON","USA","348.5","10.5","290","48","","",""
"49","Ziqi XU","CHN","342.16","260","63","16","3.16","",""
"50","Daiki SANO","JPN","338.2","290","43.2","5","","",""
"51","Cheung-Chi Shoji CHAN","HKG","324","8","0","240","76","",""
"52","Ido FIDEL","ISR","317.66","6","106.66","170","7","28","0"
"53","Matthew RODRIGUEZ","CAN","316.5","5","250","12.5","30","7.5","11.5"
"54","Paul BRAND","NED","302.5","64","20","205","13.5","0","0"
"55","Max BERTONE","FRA","290","290","","","","",""
"56","Lucas TRANDAFIR","GER","277","145","20","95","16","1","0"
"56","Ardch INTRACHUPONGSE","THA","277","20","63","12.5","150","11.5","20"
"58","Yoshiyuki OGATA","JPN","276.16","89.5","106.66","80","","",""
"59","Edvards GRUZITIS","LAT","274.16","31.5","84","140","11","7.66","0"
"60","Adi BARK","ISR","273.5","89.5","9","125","50","",""
"61","Tim WÜRTHNER","GER","268.16","89.5","120","20","31.5","4","3.16"
"62","Malo GILLY-EYDOUX","AUS","225","225","","","","",""
"63","Dylan PARKS","AUS","221.83","13.5","11.33","48","39.5","28.5","81"
"64","Raffael GRUBER","AUT","217.49","7.66","9","33.33","130","6","31.5"
"65","Alexander WALLER","USA","204.33","130","68","6.33","","",""
"66","Hugo HOYER","USA","200.66","7.66","193","","","",""
"67","Andreas HOFHERR","AUT","193.75","64","0","30","78.75","2","19"
"68","Ram LEVIN","ISR","187","155","0","20","11","1",""
"69","Kodai YAMADA","JPN","186.16","137.5","48.66","","","",""
"70","Levin STRAUBHAAR","SUI","184.33","4","143.33","18","0","0","19"
"71","Sascha LEHMANN","SUI","183.5","7","137.5","30","6","3",""
"72","Benjamin HANNA","USA","181.99","6.5","145","11","15.33","1","3.16"
"73","Diego LEQUERICA BUSCAGLIA","PER","180","159","21","0","0","0",""
"74","Sam LAVENDER","AUS","171","171","","","","",""
"75","Luca BOLDRINI","ITA","170","170","0","0","","",""
"76","Gregor VEZONIK","SLO","161.16","112.5","48.66","0","","",""
"77","Michael PICCOLRUAZ","ITA","159.4","0","7.4","2","150","0","0"
"78","Christian WAGNER","CHI","149.16","7.66","134","3.5","2","2",""
"79","Matteo REUSA","ITA","145","145","0","0","","",""
"79","Jiahao FU","CHN","145","25","120","","","",""
"81","Maxim PARE","AUS","141","3.5","20","3.5","18","96",""
"82","Aiden YANEV","AUS","138","138","","","","",""
"83","Ravianto RAMADHAN","INA","124.99","68","6.33","2","48.66","",""
"84","Joaquin URRUTIA","CHI","120.16","86","3","19","9","3.16",""
"85","Bharath PEREIRA","IND","117.66","0","68","7","7.66","35",""
"86","Chih-En FAN","TPE","116.25","14.75","7","12.5","37","45",""
"87","Louis FECHOZ","AUS","115","115","","","","",""
"88","Geva LEVIN","ISR","110.5","3.5","107","0","","",""
"89","Corentin LAPORTE","BEL","108.5","5","13.5","7","0","83",""
"90","Yejun CHON","KOR","107.4","3","37","7.4","39.5","11.5","9"
"91","Benjamin VARGAS","CHI","107.33","11.5","55","13","15.33","2","10.5"
"92","Noé MOUTAULT","FRA","107","24","83","","","",""
"93","Yannick FLOHÉ","GER","105","105","","","","",""
"94","Rodrigo IASI HANADA","BRA","104.83","25.5","35","33.33","9","1","1"
"95","Satone YOSHIDA","JPN","100","39.5","25.5","35","","",""
"95","Keita DOHI","JPN","100","100","","","","",""
"97","Simon HIBBELER","USA","98","98","","","","",""
"98","Thor VILLEGAS GARCÍA","MEX","91","74","17","","","",""
"99","Niccolò Antony SALVATORE","ITA","89.9","7.4","27","11.5","4","2","38"
"100","Hugo DORVAL","CAN","85.83","73.33","10.5","2","","",""
"101","Cheuk-Hei HO","HKG","81","48","6","0","1","26",""
"102","Felipe HO FOGANHOLO","BRA","80.33","7","73.33","","","",""
"103","Nimród Sebestyén TUSNÁDY","HUN","69","1","68","0","0","0",""
"103","Marley FARQUHARSON","AUS","69","69","","","","",""
"105","Nathan WHALEY","GBR","68","6","56","6","0","",""
"106","Filip SCHENK","ITA","64.66","16","48.66","","","",""
"107","Vail EVERETT","USA","63.5","24","8","16","5","10.5",""
"108","Michael O'NEILL","IRL","62.5","25.5","2","3.5","31.5","0","0"
"109","Joshua DAMASCO","AUS","57","57","","","","",""
"110","Zach RICHARDSON","CAN","53.25","13.5","14.75","25","","",""
"111","Jinwei YAO","CHN","52","52","","","","",""
"112","Jesse RUFFINI","AUS","48","48","","","","",""
"112","Hyunseung NOH","KOR","48","35.5","1","11.5","","",""
"114","Raviandi RAMADHAN","INA","45","20","1","6","18","",""
"115","Samuel BUTTERWORTH","GBR","43.33","16","13","6.33","8","",""
"116","Ronny ESCOBAR","CHI","41","41","","","","",""
"116","Pietro VIDI","ITA","41","41","","","","",""
"118","Slav KIROV","BUL","40.5","11.5","10.5","8","10.5","0","0"
"119","Ben ABEL","AUS","40","40","","","","",""
"120","Alexandru-Florian ZAHARIA","ROU","38.4","20","7.4","8","2","1","0"
"121","Iman AREZEH","IRI","36","31.5","3.5","1","","",""
"122","Darius RÂPĂ","ROU","35.5","35.5","0","","","",""
"122","Xuanpu BAI","CHN","35.5","0","35.5","","","",""
"124","Dylan SMITH","CAN","35","30","5","0","0","",""
"125","Samuel Carlos DA SILVA","BRA","34","14","14","1","3","2",""
"126","Luka SUGIMOTO-FAULKNER","NZL","33","33","","","","",""
"127","Emil ZIMMERMANN","GER","32.5","4.5","0","28","","",""
"128","Nathan MARTIN","LUX","31.66","8.66","21","2","0","",""
"129","Junzhe HU","CHN","31.5","31.5","0","","","",""
"129","Kito MARTINI","FRA","31.5","31.5","0","","","",""
"131","Dragoș Gabriel FLUERARU","ROU","29.5","16","13.5","0","","",""
"132","Joshua GERHARDT","USA","28.16","5","12","6.5","2.66","2","0"
"133","Beomjin PARK","KOR","28","16","5","7","0","",""
"134","Timo UZNIK","AUT","27.83","4.33","11.5","12","","",""
"135","Max THOMAS","AUS","27","27","","","","",""
"136","Leonardo MAGALLANES TEJADA","MEX","26","11","15","","","",""
"137","Jack BURNINGHAM","RSA","25.5","25.5","","","","",""
"138","Chua DENNIS","SGP","23.66","8.66","15","","","",""
"139","Ali SALIMIAN","IRI","23.23","2","0","7.4","3.5","4.5","5.83"
"140","Martin STRANIK","CZE","22","20","2","","","",""
"141","Ian TAN","CAN","21","21","","","","",""
"141","Dylan SOIN","AUS","21","21","","","","",""
"143","Călin ENACHE","ROU","19.33","11.33","0","3","1","4","0"
"144","Yonatan KATZ","ISR","19","7","12","","","",""
"145","Roman SIVAKOV","LTU","18.9","2","0","7.5","9","0.4","0"
"146","Chi-Fung AU","HKG","18","18","","","","",""
"146","Dante CABALLERO","CHI","18","18","","","","",""
"148","Luke GOH WEN BIN","SGP","17.5","12.5","5","","","",""
"149","Tomer YAKOBOVITCH","ISR","17","17","0","","","",""
"149","Ned MIDDLEHURST","AUS","17","17","","","","",""
"151","Sungjoon CHAE","KOR","14.75","14.75","","","","",""
"151","Yannick NAGEL","GER","14.75","14.75","","","","",""
"153","Hugo MARTÍN ÁLVAREZ","ESP","14.5","0","4.5","4","0","6","0"
"154","Simon LORENZI","BEL","14","9","5","","","",""
"155","Gabriel KERN","SWE","12.5","10.5","2","0","0","",""
"156","Seungchan CHOI","KOR","12.33","1","11.33","","","",""
"157","Finlay CATE","NZL","12","12","","","","",""
"157","Simone MABBONI","ITA","12","12","0","","","",""
"159","Jan STIPEK","CZE","11.83","4.33","7.5","0","0","",""
"160","Wan Tong LOK","MAC","11.33","5.83","0","4.5","1","0",""
"161","Qun Tao KE","MAS","11","7","4","0","0","",""
"161","Tzu-Yu CHOU","TPE","11","7","4","","","",""
"161","Ka-Chun YAU","HKG","11","0","11","","","",""
"164","Cozmo ROTHFORK","USA","10.5","10.5","","","","",""
"164","Jonas KÖRNER","GER","10.5","10.5","0","0","","",""
"166","Sungbo SEO","KOR","10","10","","","","",""
"166","Gerald BAYO VEROSIL","SGP","10","10","","","","",""
"166","Jonathan Odiel BENITEZ RODRIGUEZ","HON","10","6","4","","","",""
"169","Davi CARVALHO PERES","BRA","9.5","0","9.5","","","",""
"169","Guy MCNAMEE","CAN","9.5","9.5","","","","",""
"171","Alexander T CVETKOVSKI","AUS","9","9","","","","",""
"171","Theis Lindegren ELFENBEIN","DEN","9","9","0","0","0","0",""
"171","Tamás FARKAS","HUN","9","9","0","0","","",""
"171","Mikel PAZ Y PUENTE HOFMANN","MEX","9","9","","","","",""
"171","Pedro AVELAR","BRA","9","9","","","","",""
"176","Dohyeon KIM","KOR","8.66","8.66","","","","",""
"177","Louis GUIGNARD","SUI","8.49","2.66","0","5.83","0","0",""
"178","Alejo SUTER","ARG","8","0","8","","","",""
"178","Albin MEYER","SWE","8","2","0","0","6","0","0"
"180","Peter KURIC","SVK","7.66","7.66","","","","",""
"181","Pedro Henrique NAMBA DE ARAÚJO","BRA","7.5","7.5","","","","",""
"181","Ariel FLORES CHEUN","ARG","7.5","0","7.5","","","",""
"183","Taher ALHADDAD","KSA","7.2","4.2","3","","","",""
"184","Yaku Martin GALMEZ SUAREZ","PER","7","0","7","","","",""
"184","Juan Sebastian SANCHEZ MARTIN","COL","7","0","7","","","",""
"184","Jakub ZIETEK","POL","7","5","2","0","0","0",""
"187","Isaac LEFF","USA","6.5","6.5","","","","",""
"188","Timo OSSIG","GER","6","6","0","0","","",""
"188","Javier Leonardo ALIAGA NINA","BOL","6","6","","","","",""
"188","Tomás ARCE","COL","6","0","6","0","","",""
"188","Tyler BERGIN","AUS","6","6","","","","",""
"188","Nicolò SACRIPANTI","ITA","6","0","6","","","",""
"193","Mykyta MYRONENKO","UKR","5.83","0","5.83","0","0","0",""
"193","Sulaiman ALYAHYA","KSA","5.83","5.83","","","","",""
"193","Vin SUKAPANPOTHARAM","THA","5.83","5.83","","","","",""
"193","Chuluunbaatar MANDAKHBAYAR","MGL","5.83","5.83","","","","",""
"193","Aman VERMA","IND","5.83","5.83","0","","","",""
"193","Quitugua MICHAEL","GUM","5.83","5.83","","","","",""
"199","Ariel GONZALEZ","CRC","5","5","","","","",""
"199","Andrés ORTEGA FOSADO","MEX","5","5","0","0","","",""
"199","Gabriel LANCHEROS POVEDA","COL","5","5","","","","",""
"199","Linus QVARNSTRÖM","SWE","5","5","0","","","",""
"203","Tomas CASAS","CRC","4.5","4.5","","","","",""
"203","Jair Octavio MORENO MONTOYA","MEX","4.5","4.5","","","","",""
"205","Ilja AUERSPERG","AUT","4.4","4","0.4","0","0","",""
"206","Donovan VICENTE","GUM","4.2","4.2","","","","",""
"206","Christos SOFOKLEOUS","CYP","4.2","4.2","","","","",""
"206","Muhammad Akif Nukman NAZRILAZDIN","MAS","4.2","4.2","","","","",""
"206","Azat MAIKOTOV","KAZ","4.2","4.2","0","0","0","",""
"210","Kenu PUERTA WONG","PER","4","1","2","0","1","0",""
"210","Aj GOLDSMITH","NZL","4","4","0","","","",""
"210","Axel LINDFORS","FIN","4","4","0","","","",""
"213","Vishak OOMMEN SHANKER","IND","3.5","3.5","","","","",""
"214","Yousef FATANI","KSA","3","3","","","","",""
"214","Man Hou LAM","MAC","3","0","3","","","",""
"214","Alexandre NOËL","BEL","3","3","","","","",""
"214","Simon POTUCEK","CZE","3","3","0","","","",""
"214","Rolands RUGENS","LAT","3","3","","","","",""
"214","Owen PALMER","AUS","3","3","","","","",""
"214","Jonas UTELLI","SUI","3","3","","","","",""
"214","Romain SABATIER","SUI","3","3","0","0","","",""
"214","Lukas ZGRAGGEN","SUI","3","3","0","0","","",""
"214","Gianfranco DIAZ","VEN","3","3","","","","",""
"214","Tuukka SIMONEN","FIN","3","0","3","0","0","0",""
"225","Hossein FAMILROHANI","IRI","2","2","","","","",""
"225","Suraj SINGH","IND","2","2","","","","",""
"227","Joshua Kyri STELIOU","CYP","1","1","","","","",""
"227","García Fernández Del Valle PEDRO","MEX","1","1","","","","",""
"227","Mark SCANLON","IRL","1","1","0","","","",""
"227","Meritas BABILAS","LTU","1","1","0","0","0","",""
"227","Andrés VILA ANDRÉS","ESP","1","0","1","0","0","0",""
"227","Mohammad GARAKANI","IRI","1","1","0","","","",""
"233","Paul HAIDER","AUT","0.4","0.4","0","0","","",""
"233","Julian SCHRITTWIESER","AUT","0.4","0.4","0","","","",""